time us,CH1 mV
2.22E-01,22.4
2.22E-01,24
2.22E-01,-10.4
2.23E-01,-25.6
2.23E-01,-20.8
2.24E-01,-29.6
2.24E-01,-37.6
2.24E-01,-20.8
2.25E-01,0.8
2.25E-01,5.6
2.26E-01,5.6
2.26E-01,-3.2
2.26E-01,-19.2
2.27E-01,22.4
2.27E-01,22.4
2.28E-01,2.4
2.28E-01,7.2
2.28E-01,0
2.29E-01,-5.6
2.29E-01,-27.2
2.30E-01,-39.2
2.30E-01,0
2.30E-01,-25.6
2.31E-01,-1.6
2.31E-01,15.2
2.32E-01,6.4
2.32E-01,-4.8
2.32E-01,-31.2
2.33E-01,0.8
2.33E-01,24
2.34E-01,2.4
2.34E-01,3.2
2.34E-01,-8.8
2.35E-01,-11.2
2.35E-01,-19.2
2.36E-01,-11.2
2.36E-01,-10.4
2.36E-01,7.2
2.37E-01,-8
2.37E-01,-13.6
2.38E-01,-6.4
2.38E-01,-15.2
2.38E-01,-1.6
2.39E-01,9.6
2.39E-01,7.2
2.40E-01,6.4
2.40E-01,-24.8
2.40E-01,-31.2
2.41E-01,-11.2
2.41E-01,1.6
2.42E-01,-4.8
2.42E-01,-8.8
2.42E-01,2.4
2.43E-01,-20.8
2.43E-01,-15.2
2.44E-01,0
2.44E-01,-21.6
2.44E-01,-32
2.45E-01,-4.8
2.45E-01,18.4
2.46E-01,29.6
2.46E-01,16.8
2.46E-01,3.2
2.47E-01,-4
2.47E-01,-20.8
2.48E-01,-23.2
2.48E-01,-4.8
2.48E-01,-27.2
2.49E-01,4.8
2.49E-01,-3.2
2.50E-01,-27.2
2.50E-01,-19.2
2.50E-01,-2.4
2.51E-01,8
2.51E-01,3.2
2.52E-01,19.2
2.52E-01,17.6
2.52E-01,11.2
2.53E-01,38.4
2.53E-01,-6.4
2.54E-01,-6.4
2.54E-01,-2.4
2.54E-01,12
2.55E-01,13.6
2.55E-01,12.8
2.56E-01,17.6
2.56E-01,20.8
2.56E-01,44
2.57E-01,20.8
2.57E-01,0.8
2.58E-01,-2.4
2.58E-01,-17.6
2.58E-01,5.6
2.59E-01,-34.4
2.59E-01,-28.8
2.60E-01,2.4
2.60E-01,-12.8
2.60E-01,-10.4
2.61E-01,-2.4
2.61E-01,6.4
2.62E-01,14.4
2.62E-01,28
2.62E-01,32.8
2.63E-01,23.2
2.63E-01,10.4
2.64E-01,8.8
2.64E-01,-2.4
2.64E-01,-3.2
2.65E-01,27.2
2.65E-01,-3.2
2.66E-01,6.4
2.66E-01,44.8
2.66E-01,40.8
2.67E-01,1.6
2.67E-01,17.6
2.68E-01,3.2
2.68E-01,12
2.68E-01,-17.6
2.69E-01,-11.2
2.69E-01,-16
2.70E-01,6.4
2.70E-01,9.6
2.70E-01,6.4
2.71E-01,11.2
2.71E-01,10.4
2.72E-01,-9.6
2.72E-01,-18.4
2.72E-01,-20
2.73E-01,-23.2
2.73E-01,4
2.74E-01,-4.8
2.74E-01,16.8
2.74E-01,31.2
2.75E-01,39.2
2.75E-01,21.6
2.76E-01,21.6
2.76E-01,12
2.76E-01,27.2
2.77E-01,12.8
2.77E-01,0
2.78E-01,-13.6
2.78E-01,19.2
2.78E-01,14.4
2.79E-01,7.2
2.79E-01,16.8
2.80E-01,36.8
2.80E-01,5.6
2.80E-01,12.8
2.81E-01,15.2
2.81E-01,-9.6
2.82E-01,-10.4
2.82E-01,2.4
2.82E-01,22.4
2.83E-01,15.2
2.83E-01,23.2
2.84E-01,4.8
2.84E-01,5.6
2.84E-01,10.4
2.85E-01,10.4
2.85E-01,1.6
2.86E-01,7.2
2.86E-01,0
2.86E-01,5.6
2.87E-01,-1.6
2.87E-01,-2.4
2.88E-01,-15.2
2.88E-01,-32.8
2.88E-01,-31.2
2.89E-01,-57.6
2.89E-01,-34.4
2.90E-01,-20.8
2.90E-01,20
2.90E-01,-8.8
2.91E-01,-6.4
2.91E-01,-9.6
2.92E-01,-27.2
2.92E-01,3.2
2.92E-01,52
2.93E-01,36
2.93E-01,21.6
2.94E-01,14.4
2.94E-01,10.4
2.94E-01,-2.4
2.95E-01,12
2.95E-01,20
2.96E-01,16
2.96E-01,20
2.96E-01,17.6
2.97E-01,-3.2
2.97E-01,-4
2.98E-01,4.8
2.98E-01,0.8
2.98E-01,0
2.99E-01,6.4
2.99E-01,14.4
3.00E-01,-2.4
3.00E-01,2.4
3.00E-01,4.8
3.01E-01,-6.4
3.01E-01,-21.6
3.02E-01,-25.6
3.02E-01,-0.8
3.02E-01,-32
3.03E-01,-23.2
3.03E-01,-27.2
3.04E-01,-15.2
3.04E-01,-8.8
3.04E-01,20
3.05E-01,16.8
3.05E-01,36
3.06E-01,32
3.06E-01,-0.8
3.06E-01,-19.2
3.07E-01,1.6
3.07E-01,-11.2
3.08E-01,-16
3.08E-01,14.4
3.08E-01,1.6
3.09E-01,13.6
3.09E-01,31.2
3.10E-01,24
3.10E-01,-1.6
3.10E-01,-20.8
3.11E-01,-25.6
3.11E-01,-30.4
3.12E-01,-9.6
3.12E-01,-24
3.12E-01,0.8
3.13E-01,3.2
3.13E-01,13.6
3.14E-01,2.4
3.14E-01,18.4
3.14E-01,9.6
3.15E-01,-6.4
3.15E-01,-28
3.16E-01,-25.6
3.16E-01,-25.6
3.16E-01,-29.6
3.17E-01,-18.4
3.17E-01,-10.4
3.18E-01,-23.2
3.18E-01,-15.2
3.18E-01,-3.2
3.19E-01,-18.4
3.19E-01,-7.2
3.20E-01,-6.4
3.20E-01,-11.2
3.20E-01,-8
3.21E-01,-3.2
3.21E-01,18.4
3.22E-01,10.4
3.22E-01,10.4
3.22E-01,5.6
3.23E-01,8
3.23E-01,-3.2
3.24E-01,4
3.24E-01,8
3.24E-01,17.6
3.25E-01,-1.6
3.25E-01,5.6
3.26E-01,-8.8
3.26E-01,-25.6
3.26E-01,-28.8
3.27E-01,9.6
3.27E-01,15.2
3.28E-01,16
3.28E-01,23.2
3.28E-01,-0.8
3.29E-01,8
3.29E-01,32.8
3.30E-01,46.4
3.30E-01,25.6
3.30E-01,-23.2
3.31E-01,-20
3.31E-01,-21.6
3.32E-01,-54.4
3.32E-01,-43.2
3.32E-01,-12.8
3.33E-01,-23.2
3.33E-01,-30.4
3.34E-01,-10.4
3.34E-01,-2.4
3.34E-01,4
3.35E-01,35.2
3.35E-01,3.2
3.36E-01,7.2
3.36E-01,-4.8
3.36E-01,1.6
3.37E-01,5.6
3.37E-01,-6.4
3.38E-01,4
3.38E-01,-4.8
3.38E-01,21.6
3.39E-01,18.4
3.39E-01,1.6
3.40E-01,-0.8
3.40E-01,14.4
3.40E-01,13.6
3.41E-01,31.2
3.41E-01,0
3.42E-01,-23.2
3.42E-01,-5.6
3.42E-01,-13.6
3.43E-01,11.2
3.43E-01,10.4
3.44E-01,29.6
3.44E-01,8.8
3.44E-01,-15.2
3.45E-01,-24
3.45E-01,-21.6
3.46E-01,-3.2
3.46E-01,2.4
3.46E-01,2.4
3.47E-01,-12
3.47E-01,-14.4
3.48E-01,-4.8
3.48E-01,0
3.48E-01,0
3.49E-01,13.6
3.49E-01,24.8
3.50E-01,13.6
3.50E-01,22.4
3.50E-01,14.4
3.51E-01,5.6
3.51E-01,7.2
3.52E-01,16
3.52E-01,-4
3.52E-01,-10.4
3.53E-01,24
3.53E-01,24
3.54E-01,-4.8
3.54E-01,15.2
3.54E-01,19.2
3.55E-01,-2.4
3.55E-01,18.4
3.56E-01,8
3.56E-01,9.6
3.56E-01,-12
3.57E-01,-27.2
3.57E-01,-35.2
3.58E-01,-24
3.58E-01,-26.4
3.58E-01,-7.2
3.59E-01,-12
3.59E-01,-27.2
3.60E-01,-33.6
3.60E-01,-23.2
3.60E-01,-44
3.61E-01,-52.8
3.61E-01,-44.8
3.62E-01,-39.2
3.62E-01,-6.4
3.62E-01,-12.8
3.63E-01,-1.6
3.63E-01,4
3.64E-01,4
3.64E-01,4
3.64E-01,-12
3.65E-01,8
3.65E-01,9.6
3.66E-01,7.2
3.66E-01,-16
3.66E-01,-24.8
3.67E-01,-22.4
3.67E-01,-20.8
3.68E-01,-32.8
3.68E-01,-28.8
3.68E-01,23.2
3.69E-01,11.2
3.69E-01,-8
3.70E-01,1.6
3.70E-01,-6.4
3.70E-01,-8.8
3.71E-01,12
3.71E-01,24.8
3.72E-01,17.6
3.72E-01,-5.6
3.72E-01,-18.4
3.73E-01,4
3.73E-01,36.8
3.74E-01,36.8
3.74E-01,14.4
3.74E-01,1.6
3.75E-01,23.2
3.75E-01,29.6
3.76E-01,-3.2
3.76E-01,19.2
3.76E-01,17.6
3.77E-01,22.4
3.77E-01,16.8
3.78E-01,26.4
3.78E-01,40
3.78E-01,47.2
3.79E-01,30.4
3.79E-01,-8
3.80E-01,4.8
3.80E-01,12
3.80E-01,1.6
3.81E-01,-11.2
3.81E-01,15.2
3.82E-01,21.6
3.82E-01,-3.2
3.82E-01,6.4
3.83E-01,-0.8
3.83E-01,4
3.84E-01,-20
3.84E-01,8.8
3.84E-01,-7.2
3.85E-01,1.6
3.85E-01,-16.8
3.86E-01,-4.8
3.86E-01,-8
3.86E-01,-9.6
3.87E-01,20.8
3.87E-01,9.6
3.88E-01,16.8
3.88E-01,8.8
3.88E-01,-11.2
3.89E-01,-16
3.89E-01,16.8
3.90E-01,22.4
3.90E-01,1.6
3.90E-01,8.8
3.91E-01,-4
3.91E-01,-5.6
3.92E-01,-11.2
3.92E-01,13.6
3.92E-01,2.4
3.93E-01,-21.6
3.93E-01,-4.8
3.94E-01,-12
3.94E-01,-0.8
3.94E-01,9.6
3.95E-01,19.2
3.95E-01,14.4
3.96E-01,26.4
3.96E-01,29.6
3.96E-01,10.4
3.97E-01,0
3.97E-01,2.4
3.98E-01,12.8
3.98E-01,12.8
3.98E-01,-20
3.99E-01,-19.2
3.99E-01,-1.6
4.00E-01,-20
4.00E-01,-8
4.00E-01,16.8
4.01E-01,-4
4.01E-01,-7.2
4.02E-01,-12.8
4.02E-01,-17.6
4.02E-01,-5.6
4.03E-01,-5.6
